corpus	endpoint	A	T	P	C	B	D	S	Y	R	F	I	V	L	M	activated_dims
OBIE	OBIE v3.1 AISP|POST /account-access-consents	1	0	0	1	0	0	0	0	0	0	0	0	0	0	A,C
OBIE	OBIE v3.1 AISP|GET /account-access-consents/{ConsentId}	1	0	0	1	0	0	0	0	0	0	0	0	0	0	A,C
OBIE	OBIE v3.1 AISP|DELETE /account-access-consents/{ConsentId}	1	0	0	1	0	0	0	0	0	0	0	0	0	0	A,C
OBIE	OBIE v3.1 AISP|GET /accounts	1	0	0	0	0	0	0	0	0	0	0	0	0	0	A
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}	1	0	0	0	0	0	0	0	0	0	0	0	0	0	A
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/balances	1	0	0	0	0	0	0	0	0	0	0	0	0	0	A
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/beneficiaries	1	0	0	0	1	0	0	0	0	0	0	0	0	0	A,B
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/direct-debits	1	0	0	0	0	1	0	0	0	0	0	0	0	0	A,D
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/offers	1	0	0	0	0	0	0	0	1	0	0	0	0	0	A,R
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/parties	1	0	0	0	0	0	0	1	0	0	0	0	0	0	A,Y
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/party	1	0	0	0	0	0	0	1	0	0	0	0	0	0	A,Y
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/product	1	0	0	0	0	0	0	0	1	0	0	0	0	0	A,R
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/scheduled-payments	1	0	0	0	0	0	1	0	0	0	0	0	0	0	A,S
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/standing-orders	1	0	0	0	0	0	1	0	0	0	0	0	0	0	A,S
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/statements	1	1	0	0	0	0	0	0	0	0	0	0	0	0	A,T
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/statements/{StatementId}	1	1	0	0	0	0	0	0	0	0	0	0	0	0	A,T
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/statements/{StatementId}/file	1	1	0	0	0	0	0	0	0	0	0	0	0	0	A,T
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/statements/{StatementId}/transactions	1	1	0	0	0	0	0	0	0	0	0	0	0	0	A,T
OBIE	OBIE v3.1 AISP|GET /accounts/{AccountId}/transactions	1	1	0	0	0	0	0	0	0	0	0	0	0	0	A,T
OBIE	OBIE v3.1 AISP|GET /balances	1	0	0	0	0	0	0	0	0	0	0	0	0	0	A
